feature,importance_mean,importance_std
Suburb_Reservoir,0.13440448622632442,0.1103050272494324
Longtitude,0.0575869803710252,0.017490686911412524
Lattitude,0.0573187376534852,0.014619288158468743
Landsize,0.02412663008935756,0.006677439334927313
log1p_Landsize,0.018829330630670937,0.005460439381761169
Distance,0.01195947932102237,0.005256189415764506
AgeAtSale,0.009097840824133563,0.012242967488434646
YearBuilt,0.008368916507868493,0.013122342884980204
SaleYear,0.007511841809537234,0.0006819770142189498
BuildingArea,0.004866017800535009,0.00020840066155723927
log1p_BuildingArea,0.0043662207827350015,0.0006191053394810146
SaleMonth,0.002290378848014233,0.007288312630865711
Car,0.0010859725726259188,0.00048460559395848254
Type_u,0.0002053722514144448,0.0004576020905124103
Suburb_Richmond,-0.0011790063440320075,0.002582486596786947
Bedroom2,-0.005852587296132398,0.0014627100547501724
Bathroom,-0.00886755176414944,0.0037269404540045134
Type_h,-0.02314949703925025,0.01222385606989042
Suburb_Bentleigh East,-0.024131522747634786,0.034535670678141575
Propertycount,-0.02715123773643165,0.033627899549946376
log1p_Propertycount,-0.029093294707263,0.031140050304164155
Rooms_x_Bath,-0.03114817890591337,0.021713317838372475
Type_t,-0.031641907867464715,0.038814713733017474
Rooms,-0.03269050224955061,0.05121257814876651
Postcode,-0.03621089998311433,0.027326393894579748
